# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
4.45            	3.29000091e+00	1.64500046e+00	1.64500046e+00	5.78741200e-01	-8.48979579e-02	6.63639158e-01	-3.74268558e-01	1.66969970e-16	-1.87961679e-17	-2.77952885e-16	-1.57772611e-16	-1.20180275e-16
4.46            	3.26671909e+00	1.63335954e+00	1.63335954e+00	3.94433841e-01	2.85987306e-01	1.08446535e-01	8.87703855e-02	1.65657368e-16	-1.52689102e-17	-2.50374531e-16	-1.40456176e-16	-1.09918355e-16
4.47            	3.24059026e+00	1.62029513e+00	1.62029513e+00	1.96187436e-01	6.49742085e-01	-4.53554649e-01	5.51648367e-01	1.64406673e-16	-1.17192838e-17	-2.21519124e-16	-1.22478846e-16	-9.90402780e-17
4.48            	3.25392845e+00	1.62696423e+00	1.62696423e+00	-9.58817014e-03	-4.21298464e-01	4.11710294e-01	-4.16504379e-01	1.62061532e-16	-6.80469656e-18	-1.92565518e-16	-1.03087456e-16	-8.94780625e-17
4.49            	3.22461539e+00	1.61230770e+00	1.61230770e+00	-2.16437647e-01	9.45631594e-02	-3.11000807e-01	2.02781983e-01	1.60157889e-16	-4.92652483e-18	-1.64724442e-16	-8.72887457e-17	-7.74356961e-17
4.5             	3.22532928e+00	1.61266464e+00	1.61266464e+00	-4.18251085e-01	-3.30821795e-01	-8.74292899e-02	-1.21696253e-01	1.56909556e-16	-3.23066577e-18	-1.39128341e-16	-7.27948365e-17	-6.63335049e-17
4.51            	3.21706227e+00	1.60853113e+00	1.60853113e+00	-6.09520615e-01	-2.51720659e-01	-3.57799955e-01	5.30396479e-02	1.52982175e-16	-3.87591318e-18	-1.16692908e-16	-6.22223674e-17	-5.44705410e-17
4.52            	3.22836510e+00	1.61418255e+00	1.61418255e+00	-7.85162418e-01	-6.62170560e-01	-1.22991858e-01	-2.69589351e-01	1.47678226e-16	-5.66685147e-18	-9.80526564e-17	-5.46931796e-17	-4.33594767e-17
4.53            	3.21524033e+00	1.60762017e+00	1.60762017e+00	-9.40330736e-01	1.25822654e-02	-9.52913002e-01	4.82747633e-01	1.42036373e-16	-1.04856862e-17	-8.35510528e-17	-5.22612126e-17	-3.12898402e-17
4.54            	3.24206704e+00	1.62103352e+00	1.62103352e+00	-1.07025928e+00	-5.58819310e-01	-5.11439970e-01	-2.36896698e-02	1.34973410e-16	-1.49084916e-17	-7.33199218e-17	-5.15684526e-17	-2.17514693e-17
